300	0	0
31	-10	-10	
31	-10	-9.93333	
31	-10	-9.86667	
31	-10	-9.8	
31	-10	-9.73333	
31	-10	-9.66667	
31	-10	-9.6	
31	-10	-9.53333	
31	-10	-9.46667	
31	-10	-9.4	
31	-10	-9.33333	
31	-10	-9.26667	
31	-10	-9.2	
31	-10	-9.13333	
31	-10	-9.06667	
31	-10	-9	
31	-10	-8.93333	
31	-10	-8.86667	
31	-10	-8.8	
31	-10	-8.73333	
31	-10	-8.66667	
31	-10	-8.6	
31	-10	-8.53333	
31	-10	-8.46667	
31	-10	-8.4	
31	-10	-8.33333	
31	-10	-8.26667	
31	-10	-8.2	
7	-10	-8.13333	
7	-10	-8.06667	
7	-10	-8	
7	-10	-7.93333	
7	-10	-7.86667	
7	-10	-7.8	
7	-10	-7.73333	
7	-10	-7.66667	
7	-10	-7.6	
7	-10	-7.53333	
7	-10	-7.46667	
7	-10	-7.4	
7	-10	-7.33333	
7	-10	-7.26667	
7	-10	-7.2	
7	-10	-7.13333	
7	-10	-7.06667	
7	-10	-7	
7	-10	-6.93333	
7	-10	-6.86667	
7	-10	-6.8	
7	-10	-6.73333	
7	-10	-6.66667	
7	-10	-6.6	
7	-10	-6.53333	
7	-10	-6.46667	
7	-10	-6.4	
7	-10	-6.33333	
7	-10	-6.26667	
7	-10	-6.2	
7	-10	-6.13333	
7	-10	-6.06667	
7	-10	-6	
7	-10	-5.93333	
7	-10	-5.86667	
7	-10	-5.8	
7	-10	-5.73333	
7	-10	-5.66667	
7	-10	-5.6	
7	-10	-5.53333	
7	-10	-5.46667	
7	-10	-5.4	
7	-10	-5.33333	
7	-10	-5.26667	
7	-10	-5.2	
7	-10	-5.13333	
7	-10	-5.06667	
7	-10	-5	
7	-10	-4.93333	
7	-10	-4.86667	
7	-10	-4.8	
7	-10	-4.73333	
7	-10	-4.66667	
7	-10	-4.6	
7	-10	-4.53333	
7	-10	-4.46667	
7	-10	-4.4	
7	-10	-4.33333	
7	-10	-4.26667	
7	-10	-4.2	
7	-10	-4.13333	
7	-10	-4.06667	
7	-10	-4	
7	-10	-3.93333	
7	-10	-3.86667	
7	-10	-3.8	
7	-10	-3.73333	
7	-10	-3.66667	
7	-10	-3.6	
7	-10	-3.53333	
7	-10	-3.46667	
7	-10	-3.4	
7	-10	-3.33333	
7	-10	-3.26667	
7	-10	-3.2	
7	-10	-3.13333	
7	-10	-3.06667	
7	-10	-3	
7	-10	-2.93333	
7	-10	-2.86667	
7	-10	-2.8	
7	-10	-2.73333	
7	-10	-2.66667	
7	-10	-2.6	
7	-10	-2.53333	
7	-10	-2.46667	
7	-10	-2.4	
7	-10	-2.33333	
7	-10	-2.26667	
7	-10	-2.2	
7	-10	-2.13333	
6	-10	-2.06667	
6	-10	-2	
6	-10	-1.93333	
6	-10	-1.86667	
6	-10	-1.8	
6	-10	-1.73333	
6	-10	-1.66667	
6	-10	-1.6	
6	-10	-1.53333	
6	-10	-1.46667	
6	-10	-1.4	
6	-10	-1.33333	
6	-10	-1.26667	
6	-10	-1.2	
6	-10	-1.13333	
6	-10	-1.06667	
6	-10	-1	
6	-10	-0.933333	
6	-10	-0.866667	
6	-10	-0.8	
6	-10	-0.733333	
6	-10	-0.666667	
6	-10	-0.6	
6	-10	-0.533333	
6	-10	-0.466667	
6	-10	-0.4	
6	-10	-0.333333	
6	-10	-0.266667	
6	-10	-0.2	
6	-10	-0.133333	
6	-10	-0.0666667	
6	-10	0	
6	-10	0.0666667	
6	-10	0.133333	
6	-10	0.2	
6	-10	0.266667	
6	-10	0.333333	
6	-10	0.4	
6	-10	0.466667	
6	-10	0.533333	
6	-10	0.6	
6	-10	0.666667	
6	-10	0.733333	
6	-10	0.8	
6	-10	0.866667	
6	-10	0.933333	
6	-10	1	
6	-10	1.06667	
6	-10	1.13333	
6	-10	1.2	
6	-10	1.26667	
6	-10	1.33333	
6	-10	1.4	
6	-10	1.46667	
6	-10	1.53333	
6	-10	1.6	
6	-10	1.66667	
6	-10	1.73333	
6	-10	1.8	
6	-10	1.86667	
6	-10	1.93333	
6	-10	2	
6	-10	2.06667	
6	-10	2.13333	
6	-10	2.2	
6	-10	2.26667	
6	-10	2.33333	
6	-10	2.4	
6	-10	2.46667	
6	-10	2.53333	
6	-10	2.6	
6	-10	2.66667	
6	-10	2.73333	
6	-10	2.8	
6	-10	2.86667	
6	-10	2.93333	
6	-10	3	
6	-10	3.06667	
6	-10	3.13333	
6	-10	3.2	
6	-10	3.26667	
6	-10	3.33333	
6	-10	3.4	
6	-10	3.46667	
6	-10	3.53333	
6	-10	3.6	
6	-10	3.66667	
6	-10	3.73333	
6	-10	3.8	
6	-10	3.86667	
6	-10	3.93333	
6	-10	4	
6	-10	4.06667	
6	-10	4.13333	
6	-10	4.2	
6	-10	4.26667	
6	-10	4.33333	
6	-10	4.4	
6	-10	4.46667	
6	-10	4.53333	
6	-10	4.6	
6	-10	4.66667	
6	-10	4.73333	
6	-10	4.8	
6	-10	4.86667	
6	-10	4.93333	
6	-10	5	
6	-10	5.06667	
6	-10	5.13333	
6	-10	5.2	
6	-10	5.26667	
6	-10	5.33333	
6	-10	5.4	
6	-10	5.46667	
6	-10	5.53333	
6	-10	5.6	
6	-10	5.66667	
6	-10	5.73333	
6	-10	5.8	
6	-10	5.86667	
6	-10	5.93333	
6	-10	6	
6	-10	6.06667	
6	-10	6.13333	
6	-10	6.2	
6	-10	6.26667	
6	-10	6.33333	
6	-10	6.4	
6	-10	6.46667	
6	-10	6.53333	
6	-10	6.6	
6	-10	6.66667	
6	-10	6.73333	
6	-10	6.8	
6	-10	6.86667	
6	-10	6.93333	
6	-10	7	
6	-10	7.06667	
6	-10	7.13333	
6	-10	7.2	
6	-10	7.26667	
6	-10	7.33333	
6	-10	7.4	
6	-10	7.46667	
6	-10	7.53333	
6	-10	7.6	
